<L>1515<pc>1-018-c<k1>aqa<k2>°aqa	{#°aqa#}
<L>64102<pc>4-043-a<k1>parimArgin<k2>°parimArgin	{#°parimArgin#}

<L>64119<pc>4-043-a<k1>parimeha<k2>°parimeha	{#°parimeha#}

<L>64147<pc>4-043-b<k1>parirakzin<k2>°parirakzin	{#°parirakzin#}

<L>64152<pc>4-043-b<k1>pariramBin<k2>°pariramBin	{#°pariramBin#}

<L>64180<pc>4-043-c<k1>parivarjaka<k2>°parivarjaka	{#°parivarjaka#}

<L>64287<pc>4-045-b<k1>pariSaNkin<k2>°pariSaNkin	{#°pariSaNkin#}

<L>64294<pc>4-045-b<k1>pariSIlana<k2>°pariSIlana	{#°pariSIlana#}

<L>64307<pc>4-045-c<k1>pariSozaRa<k2>°pariSozaRa	{#°pariSozaRa#}

<L>64315<pc>4-045-c<k1>pariSrAma<k2>°pariSrAma	{#°pariSrAma#}

<L>64414<pc>4-047-a<k1>parisparDin<k2>°parisparDin	{#°parisparDin#}

<L>64416<pc>4-047-a<k1>parispfS<k2>°parispfS	{#°parispfS#}

<L>64455<pc>4-047-c<k1>parihArin<k2>°parihArin	{#°parihArin#}

<L>64495<pc>4-048-b<k1>parItin<k2>°parItin	{#°parItin#}

